84.0,0.0
94.0,0.0
74.0,0.0
87.0,0.0
76.0,0.0
98.0,0.0
84.0,0.0
80.0,0.0
83.0,0.0
66.0,0.0
73.0,0.0
84.0,0.0
88.0,0.0
69.0,0.0
91.0,0.0
86.0,0.0
79.0,0.0
83.0,0.0
84.0,0.0
71.0,0.0
80.0,0.0
63.0,0.0
83.0,0.0
85.0,0.0
82.0,0.0
90.0,0.0
88.0,0.0
86.0,0.0
83.0,0.0
87.0,0.0
90.0,0.0
86.0,0.0
76.0,0.0
85.0,0.0
90.0,0.0
73.0,0.0
80.0,0.0
83.0,0.0
94.0,0.0
78.0,0.0
83.0,0.0
74.0,0.0
81.0,0.0
82.0,0.0
87.0,0.0
86.0,0.0
83.0,0.0
56.0,0.0
76.0,0.0
82.0,0.0
78.0,0.0
91.0,0.0
89.0,0.0
87.0,0.0
82.0,0.0
74.0,0.0
78.0,0.0
82.0,0.0
87.0,0.0
66.0,0.0
76.0,0.0
79.0,0.0
75.0,0.0
84.0,0.0
78.0,0.0
85.0,0.0
94.0,0.0
75.0,0.0
75.0,0.0
70.0,0.0
65.0,0.0
58.0,0.0
60.0,0.0
60.0,0.0
59.0,0.0
57.0,0.0
66.0,0.0
75.0,0.0
73.0,0.0
65.0,0.0
68.0,0.0
74.0,0.0
75.0,0.0
72.0,0.0
65.0,0.0
66.0,0.0
61.0,0.0
67.0,0.0
88.0,0.0
80.0,0.0
74.0,0.0
73.0,0.0
64.0,0.0
82.0,0.0
77.0,0.0
87.0,0.0
87.0,0.0
91.0,0.0
87.0,0.0
75.0,0.0
71.0,0.0
67.0,0.0
85.0,0.0
85.0,0.0
90.0,0.0
88.0,0.0
86.0,0.0
86.0,0.0
70.0,0.0
78.0,0.0
79.0,0.0
87.0,0.0
87.0,0.0
79.0,0.0
78.0,0.0
79.0,0.0
73.0,0.0
85.0,0.0
82.0,0.0
95.0,0.0
85.0,0.0
89.0,0.0
90.0,0.0
94.0,0.0
80.0,0.0
89.0,0.0
87.0,0.0
84.0,0.0
96.0,0.0
80.0,0.0
79.0,0.0
80.0,0.0
64.0,0.0
74.0,0.0
81.0,0.0
83.0,0.0
89.0,0.0
86.0,0.0
88.0,0.0
78.0,0.0
85.0,0.0
84.0,0.0
70.0,0.0
72.0,0.0
97.0,0.0
91.0,0.0
83.0,0.0
74.0,0.0
91.0,0.0
71.0,0.0
88.0,0.0
95.0,0.0
80.0,0.0
73.0,0.0
83.0,0.0
78.0,0.0
75.0,0.0
75.0,0.0
61.0,0.0
96.0,0.0
84.0,0.0
82.0,0.0
74.0,0.0
86.0,0.0
70.0,0.0
91.0,0.0
72.0,0.0
79.0,0.0
79.0,0.0
80.0,0.0
85.0,0.0
89.0,0.0
91.0,0.0
78.0,0.0
91.0,0.0
84.0,0.0
72.0,0.0
82.0,0.0
82.0,0.0
82.0,0.0
81.0,0.0
84.0,0.0
92.0,0.0
99.0,0.0
82.0,0.0
82.0,0.0
76.0,0.0
65.0,0.0
87.0,0.0
76.0,0.0
76.0,0.0
89.0,0.0
72.0,0.0
68.0,0.0
81.0,0.0
87.0,0.0
83.0,0.0
88.0,0.0
84.0,0.0
78.0,0.0
76.0,0.0
75.0,0.0
90.0,0.0
88.0,0.0
80.0,0.0
75.0,0.0
80.0,0.0
92.0,0.0
92.0,0.0
90.0,0.0
88.0,0.0
84.0,0.0
78.0,0.0
79.0,0.0
82.0,0.0
90.0,0.0
77.0,0.0
87.0,0.0
72.0,0.0
84.0,0.0
74.0,0.0
88.0,0.0
83.0,0.0
76.0,0.0
85.0,0.0
85.0,0.0
85.0,0.0
100.0,0.0
85.0,0.0
86.0,0.0
84.0,0.0
95.0,0.0
92.0,0.0
77.0,0.0
83.0,0.0
79.0,0.0
81.0,0.0
79.0,0.0
98.0,0.0
70.0,0.0
85.0,0.0
90.0,0.0
90.0,0.0
93.0,0.0
90.0,0.0
75.0,0.0
78.0,0.0
93.0,0.0
75.0,0.0
78.0,0.0
80.0,0.0
88.0,0.0
84.0,0.0
86.0,0.0
85.0,0.0
85.0,0.0
74.0,0.0
92.0,0.0
72.0,0.0
76.0,0.0
94.0,0.0
92.0,0.0
69.0,0.0
76.0,0.0
90.0,0.0
87.0,0.0
86.0,0.0
86.0,0.0
82.0,0.0
80.0,0.0
74.0,0.0
87.0,0.0
71.0,0.0
80.0,0.0
69.0,0.0
81.0,0.0
68.0,0.0
91.0,0.0
82.0,0.0
77.0,0.0
75.0,0.0
73.0,0.0
83.0,0.0
75.0,0.0
68.0,0.0
79.0,0.0
88.0,0.0
82.0,0.0
77.0,0.0
72.0,0.0
77.0,0.0
81.0,0.0
83.0,0.0
76.0,0.0
73.0,0.0
64.0,0.0
75.0,0.0
79.0,0.0
69.0,0.0
78.0,0.0
71.0,0.0
77.0,0.0
87.0,0.0
72.0,0.0
92.0,0.0
86.0,0.0
83.0,0.0
89.0,0.0
87.0,0.0
84.0,0.0
81.0,0.0
72.0,0.0
76.0,0.0
79.0,0.0
70.0,0.0
78.0,0.0
82.0,0.0
91.0,0.0
97.0,0.0
103.0,0.0
101.0,0.0
105.0,0.0
105.0,0.0
89.0,0.0
92.0,0.0
91.0,0.0
91.0,0.0
95.0,0.0
92.0,0.0
94.0,0.0
88.0,0.0
62.0,0.0
73.0,0.0
87.0,0.0
72.0,0.0
67.0,0.0
69.0,0.0
57.0,0.0
57.0,0.0
77.0,0.0
85.0,0.0
74.0,0.0
76.0,0.0
70.0,0.0
80.0,0.0
80.0,0.0
84.0,0.0
83.0,0.0
80.0,0.0
75.0,0.0
89.0,0.0
85.0,0.0
83.0,0.0
85.0,0.0
93.0,0.0
90.0,0.0
106.0,0.0
94.0,0.0
74.0,0.0
98.0,0.0
87.0,0.0
82.0,0.0
95.0,0.0
91.0,0.0
86.0,0.0
81.0,0.0
74.0,0.0
80.0,0.0
71.0,0.0
86.0,0.0
75.0,0.0
82.0,0.0
85.0,0.0
91.0,0.0
76.0,0.0
84.0,0.0
82.0,0.0
77.0,0.0
84.0,0.0
77.0,0.0
85.0,0.0
95.0,0.0
87.0,0.0
81.0,0.0
84.0,0.0
84.0,0.0
91.0,0.0
86.0,0.0
86.0,0.0
77.0,0.0
77.0,0.0
82.0,0.0
86.0,0.0
84.0,0.0
64.0,0.0
83.0,0.0
80.0,0.0
78.0,0.0
95.0,0.0
93.0,0.0
73.0,0.0
86.0,0.0
62.0,0.0
86.0,0.0
84.0,0.0
78.0,0.0
78.0,0.0
79.0,0.0
91.0,0.0
70.0,0.0
76.0,0.0
93.0,0.0
88.0,0.0
83.0,0.0
81.0,0.0
90.0,0.0
96.0,0.0
81.0,0.0
88.0,0.0
70.0,0.0
74.0,0.0
64.0,0.0
81.0,0.0
76.0,0.0
73.0,0.0
83.0,0.0
83.0,0.0
62.0,0.0
68.0,0.0
84.0,0.0
76.0,0.0
81.0,0.0
93.0,0.0
92.0,0.0
68.0,0.0
84.0,0.0
83.0,0.0
85.0,0.0
71.0,0.0
78.0,0.0
77.0,0.0
77.0,0.0
88.0,0.0
80.0,0.0
89.0,0.0
89.0,0.0
80.0,0.0
72.0,0.0
88.0,0.0
72.0,0.0
85.0,0.0
85.0,0.0
89.0,0.0
82.0,0.0
87.0,0.0
69.0,0.0
78.0,0.0
87.0,0.0
82.0,0.0
78.0,0.0
91.0,0.0
83.0,0.0
73.0,0.0
75.0,0.0
75.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
85.0,0.0
86.0,0.0
79.0,0.0
85.0,0.0
83.0,0.0
78.0,0.0
94.0,0.0
83.0,0.0
73.0,0.0
67.0,0.0
83.0,0.0
81.0,0.0
83.0,0.0
68.0,0.0
77.0,0.0
70.0,0.0
75.0,0.0
74.0,0.0
87.0,0.0
85.0,0.0
93.0,0.0
75.0,0.0
99.0,0.0
84.0,0.0
87.0,0.0
82.0,0.0
84.0,0.0
76.0,0.0
98.0,0.0
87.0,0.0
94.0,0.0
92.0,0.0
83.0,0.0
76.0,0.0
71.0,0.0
84.0,0.0
87.0,0.0
90.0,0.0
76.0,0.0
89.0,0.0
95.0,0.0
84.0,0.0
72.0,1.0
83.0,1.0
68.0,1.0
93.0,1.0
76.0,1.0
93.0,1.0
93.0,1.0
88.0,1.0
93.0,1.0
84.0,1.0
71.0,1.0
72.0,1.0
79.0,1.0
79.0,1.0
88.0,1.0
80.0,1.0
64.0,1.0
78.0,1.0
89.0,1.0
82.0,1.0
86.0,1.0
81.0,1.0
69.0,1.0
68.0,1.0
86.0,1.0
93.0,1.0
76.0,1.0
80.0,1.0
80.0,1.0
82.0,1.0
77.0,1.0
78.0,1.0
76.0,1.0
73.0,1.0
63.0,1.0
63.0,1.0
71.0,1.0
82.0,1.0
74.0,1.0
75.0,1.0
75.0,1.0
89.0,1.0
96.0,1.0
75.0,1.0
76.0,1.0
89.0,1.0
93.0,1.0
85.0,1.0
73.0,1.0
77.0,1.0
81.0,1.0
63.0,1.0
65.0,1.0
66.0,1.0
75.0,1.0
58.0,1.0
57.0,1.0
78.0,1.0
81.0,1.0
83.0,1.0
74.0,1.0
68.0,1.0
74.0,1.0
71.0,1.0
73.0,1.0
74.0,1.0
80.0,1.0
78.0,1.0
77.0,1.0
83.0,1.0
83.0,1.0
84.0,1.0
91.0,1.0
93.0,1.0
93.0,1.0
91.0,1.0
88.0,1.0
84.0,1.0
86.0,1.0
80.0,1.0
73.0,1.0
71.0,1.0
70.0,1.0
69.0,1.0
75.0,1.0
82.0,1.0
69.0,1.0
70.0,1.0
64.0,1.0
66.0,1.0
75.0,1.0
81.0,1.0
80.0,1.0
84.0,1.0
85.0,1.0
87.0,1.0
80.0,1.0
71.0,1.0
73.0,1.0
74.0,1.0
85.0,1.0
82.0,1.0
83.0,1.0
85.0,1.0
90.0,1.0
82.0,1.0
87.0,1.0
88.0,1.0
78.0,1.0
88.0,1.0
85.0,1.0
81.0,1.0
82.0,1.0
76.0,1.0
88.0,1.0
83.0,1.0
73.0,1.0
75.0,1.0
71.0,1.0
75.0,1.0
74.0,1.0
80.0,1.0
62.0,1.0
66.0,1.0
28.0,1.0
68.0,1.0
59.0,1.0
20.0,1.0
67.0,1.0
61.0,1.0
59.0,1.0
29.0,1.0
54.0,1.0
86.0,1.0
80.0,1.0
68.0,1.0
78.0,1.0
89.0,1.0
89.0,1.0
89.0,1.0
87.0,1.0
81.0,1.0
82.0,1.0
82.0,1.0
66.0,1.0
53.0,1.0
69.0,1.0
71.0,1.0
53.0,1.0
70.0,1.0
72.0,1.0
75.0,1.0
74.0,1.0
87.0,1.0
70.0,1.0
77.0,1.0
73.0,1.0
70.0,1.0
64.0,1.0
68.0,1.0
85.0,1.0
70.0,1.0
66.0,1.0
80.0,1.0
75.0,1.0
74.0,1.0
73.0,1.0
67.0,1.0
65.0,1.0
79.0,1.0
78.0,1.0
76.0,1.0
91.0,1.0
87.0,1.0
82.0,1.0
92.0,1.0
83.0,1.0
82.0,1.0
83.0,1.0
67.0,1.0
89.0,1.0
80.0,1.0
79.0,1.0
87.0,1.0
87.0,1.0
77.0,1.0
80.0,1.0
84.0,1.0
90.0,1.0
87.0,1.0
82.0,1.0
83.0,1.0
77.0,1.0
86.0,1.0
97.0,1.0
87.0,1.0
91.0,1.0
75.0,1.0
89.0,1.0
77.0,1.0
75.0,1.0
83.0,1.0
85.0,1.0
83.0,1.0
77.0,1.0
75.0,1.0
72.0,1.0
79.0,1.0
84.0,1.0
71.0,1.0
80.0,1.0
71.0,1.0
79.0,1.0
83.0,1.0
88.0,1.0
78.0,1.0
97.0,1.0
81.0,1.0
93.0,1.0
77.0,1.0
81.0,1.0
74.0,1.0
90.0,1.0
77.0,1.0
80.0,1.0
88.0,1.0
84.0,1.0
78.0,1.0
91.0,1.0
83.0,1.0
80.0,1.0
77.0,1.0
82.0,1.0
81.0,1.0
89.0,1.0
87.0,1.0
82.0,1.0
83.0,1.0
